Living things;जीवजाल
			Spicy deep fried fritter of chickpea batter;पिटांतु बुडोवनु तळ्ळेलें, भज्जा, फोडो
			Deep fried dry snacks;सुकें तळ्ळेलें खाण
			Deep fried chips;पातळ बाळुकां तळ्ळेलीं
			Deep fried finger chips;फडि मीट लावनु तळ्ळेली
			Spicy deep fried fritter of rice flour;वोरवा पिट्टी लावनु तळ्ळेलें
		Steamed cakes and pancakes;सांदण आनी पोळो
			Indian pancake;पोळो
			Steamed cakes;ऊब काडलेलें खाण
		Moist snacks;वोल्लें खाण
		Variety of cooked rice;तरातरा शीत
		Main dishes;कलवणेचें
			Spiced curry used to mix with rice;तोय, सारु, हुम्माण
			Weak slightly sour dish with coconut;पुळचिकरी
			Main curry or dish holli ravndai;व्होडली अथवा होळ्ळी रांवदय
			Main curry or dish ambat;आंबट
			Main curry or dish dhavi ghashi;धवी घशी, हळदूवे मासला घशी
			Main curry or dish alchikari;अळचिकरी
			Main curry or dish with a roasted and ground coconut masala;सोयी भाजिल्ली घशी अथवा भाजिल्ले मासला घशी
		Sub dishes;सान्यो आनी सोपूर्यो रांवदयो
			Sub curry or dish;सानी रांवदय
			Sub dish sassam;सासम
			Sub dish pachati;पच्चट्टी
			Wet sub dish;पातळ सुक्कें
			Side dish;सोपूरी रांवदय
			Coconut based stir fry;सुक्कें
			Dry sub dish;सुक्कें सुक्कें
			Salad or cold dish;गोज्जु
			Cold dish;पोळतें
		Hot spicy pickle and stuff;अडगयी आनी तिकसाणीचें
			Hot spicy;तिकसाणीचें
			Fresh sour fruits seasoned;करंबि
			Wet pickle;नोणचें
			Dry pickle;पुड्डि घालेलें
			Fresh pickle;अडगयी
			Squeezed pickle;चिरडिल्लें
			Pounded and crushed pickle;धाडायलेलें
			Fresh pickle with fried vegetables;तोळनु घालनु अडगयी
			Spicy hot curry;तिकसाणी हुम्माण
			Cured and dried;मीट लावनु सुकयलेलें
		Dried and fried items;सुकोवनु तळ्ळलें
			Dried and deep fried items;सुकोवनु तळचें
			Sun dried fritters;ओडी/वोडी
			Cured, dried and deep fried;मीट लावनु सुकोवनु तळचें
			Crispy thin cracker dried and deep fried;सुकयलेले हापळ
	Culture;संस्कार
		Sixteen rites of passage;शोडश संस्कार
		Marriage;व्हारडिक
			Other words related to wedding;व्हारडिक संबंधित इतर उतरां
			Words related to pre wedding;व्हारडिके मुरथमलीं उतरां
			Customs related to wedding ceremony;व्हारडिक संबंधित आचार
			Post wedding verbs;व्हारडिके उपरांतेचे आचार
